SALE_ID,PRODUCT_NAME,CATEGORY,QUANTITY,UNIT_PRICE,TOTAL_AMOUNT,CUSTOMER_NAME,REGION,SALE_DATE,PAYMENT_METHOD,CREATED_AT
1,Laptop,Audio,2,432.23,8062.70,Henry Taylor,Europe,2024-10-24,Debit Card,2026-07-30 00:07:34.800
2,Laptop,Storage,13,453.91,22024.20,Irene Clark,Asia Pacific,2026-05-20,Cash,2026-07-30 00:07:34.800
3,Keyboard,Storage,12,1508.20,10079.93,Emma Davis,Asia Pacific,2026-02-17,Credit Card,2026-07-30 00:07:34.800
4,Webcam,Audio,6,1833.28,3366.90,Alice Johnson,Asia Pacific,2025-12-21,Debit Card,2026-07-30 00:07:34.800
5,Mouse,Storage,12,1292.46,3026.45,Bob Smith,Latin America,2024-10-07,Debit Card,2026-07-30 00:07:34.800
6,Speaker,Computing,13,1455.30,2416.80,Bob Smith,North America,2024-08-17,Debit Card,2026-07-30 00:07:34.800
7,Tablet,Accessories,12,1451.33,1927.74,Jack Moore,Latin America,2025-03-07,Credit Card,2026-07-30 00:07:34.800
8,Keyboard,Storage,10,195.16,12753.36,David Brown,Middle East,2026-04-04,Credit Card,2026-07-30 00:07:34.800
9,Keyboard,Audio,17,882.11,13185.60,Jack Moore,Latin America,2025-11-20,Wire Transfer,2026-07-30 00:07:34.800
10,Keyboard,Storage,17,612.75,6928.32,Jack Moore,Latin America,2025-10-06,Debit Card,2026-07-30 00:07:34.800
11,Mouse,Audio,1,987.15,1275.75,David Brown,North America,2026-01-12,Wire Transfer,2026-07-30 00:07:34.800
12,Speaker,Electronics,19,280.70,4730.24,Bob Smith,Europe,2025-07-09,PayPal,2026-07-30 00:07:34.800
13,Mouse,Electronics,10,360.02,8567.35,David Brown,North America,2024-11-10,Debit Card,2026-07-30 00:07:34.800
14,Mouse,Accessories,4,1773.44,5370.72,Alice Johnson,Asia Pacific,2025-02-11,Cash,2026-07-30 00:07:34.800
15,Webcam,Computing,17,550.49,6905.80,Alice Johnson,Middle East,2025-06-25,PayPal,2026-07-30 00:07:34.800
16,SSD,Electronics,15,1955.08,4465.10,David Brown,Asia Pacific,2024-10-30,Credit Card,2026-07-30 00:07:34.800
17,Headphones,Storage,18,1279.31,15339.30,David Brown,North America,2025-01-14,Cash,2026-07-30 00:07:34.800
18,Mouse,Electronics,17,1381.08,5528.88,Carol White,Asia Pacific,2024-12-10,Wire Transfer,2026-07-30 00:07:34.800
19,Speaker,Audio,7,1459.91,3742.68,Bob Smith,Europe,2025-08-26,Wire Transfer,2026-07-30 00:07:34.800
20,Keyboard,Electronics,10,1616.18,30014.82,Bob Smith,Europe,2026-01-30,Credit Card,2026-07-30 00:07:34.800
21,Webcam,Accessories,14,804.88,9421.10,David Brown,Latin America,2024-10-17,Cash,2026-07-30 00:07:34.800
22,Webcam,Electronics,6,1523.50,830.30,Emma Davis,North America,2026-07-23,Cash,2026-07-30 00:07:34.800
23,Webcam,Accessories,8,571.81,12885.60,Jack Moore,Middle East,2025-03-09,Credit Card,2026-07-30 00:07:34.800
24,Mouse,Audio,10,1603.60,812.27,Emma Davis,Europe,2025-03-10,Wire Transfer,2026-07-30 00:07:34.800
25,Webcam,Accessories,10,158.44,2947.84,Carol White,North America,2024-08-14,PayPal,2026-07-30 00:07:34.800
26,Laptop,Audio,10,397.68,23152.61,Irene Clark,Middle East,2025-06-17,Debit Card,2026-07-30 00:07:34.800
27,Laptop,Audio,1,805.55,9021.24,Bob Smith,Latin America,2025-03-12,Debit Card,2026-07-30 00:07:34.800
28,Mouse,Audio,12,354.61,8663.16,Frank Wilson,Latin America,2025-05-24,PayPal,2026-07-30 00:07:34.800
29,Webcam,Audio,5,1267.09,25937.86,Jack Moore,North America,2025-10-16,Wire Transfer,2026-07-30 00:07:34.800
30,SSD,Accessories,7,1279.10,3642.92,Irene Clark,Asia Pacific,2026-02-06,Wire Transfer,2026-07-30 00:07:34.800
31,Laptop,Electronics,9,1992.78,21016.56,Alice Johnson,North America,2026-03-25,Credit Card,2026-07-30 00:07:34.800
32,SSD,Electronics,17,1161.26,841.92,Emma Davis,North America,2026-03-22,PayPal,2026-07-30 00:07:34.800
33,SSD,Storage,5,1335.14,1638.60,Emma Davis,Middle East,2025-04-22,Wire Transfer,2026-07-30 00:07:34.800
34,Mouse,Storage,13,441.82,2990.40,Grace Lee,North America,2024-09-12,Debit Card,2026-07-30 00:07:34.800
35,Keyboard,Storage,15,1018.97,7915.67,Carol White,Middle East,2025-09-10,Wire Transfer,2026-07-30 00:07:34.800
36,SSD,Storage,16,1235.02,2857.47,David Brown,Latin America,2024-12-13,Cash,2026-07-30 00:07:34.800
37,Tablet,Audio,1,1290.41,2162.04,Henry Taylor,Latin America,2025-09-03,PayPal,2026-07-30 00:07:34.800
38,Laptop,Storage,19,1178.80,20745.61,Frank Wilson,North America,2025-01-06,Credit Card,2026-07-30 00:07:34.800
